city,st,state,lat,lon,county,zip
Abbeville,AL,Alabama,31.56639,-85.25139,Henry,36310
Adamsville,AL,Alabama,33.59028,-86.94917,Jefferson,35005
Addison,AL,Alabama,34.2,-87.17778,Winston,35540
Akron,AL,Alabama,32.87639,-87.74083,Hale,35441
Alabaster,AL,Alabama,33.23111,-86.82361,Shelby,"35007, 35114"
Albertville,AL,Alabama,34.26528,-86.21111,Marshall,35950-35951
Alexander,AL,Alabama,32.93306,-85.93611,Tallapoosa,35010-35011
Aliceville,AL,Alabama,33.12611,-88.15417,Pickens,35442
Allgood,AL,Alabama,33.90417,-86.51639,Blount,35013
Altoona,AL,Alabama,34.02917,-86.32056,Etowah,35952
Andalusia,AL,Alabama,31.3,-86.483,Covington,36420 and 36421
Anderson,AL,Alabama,34.92,-87.27028,Lauderdale,35610
Anniston,AL,Alabama,33.66111,-85.83333,Calhoun,36201-36207
Arab,AL,Alabama,34.32778,-86.49861,Cullman,35016
Ardmore,AL,Alabama,34.98694,-86.84306,Limestone,35739
Argo,AL,Alabama,33.7,-86.51222,Jefferson,null
Ariton,AL,Alabama,31.59806,-85.71861,Dale,36311
Arley,AL,Alabama,34.08139,-87.21056,Winston,35540-35541
Ashford,AL,Alabama,31.18389,-85.23528,Houston,36312
Ashland,AL,Alabama,33.27194,-85.83667,Clay,36251
Ashville,AL,Alabama,33.837,-86.255,St. Clair,35953
Athens,AL,Alabama,34.78972,-86.96944,Limestone,35611–35614–35613
Atmore,AL,Alabama,31.02306,-87.49194,Escambia,36502-36504
Attalla,AL,Alabama,34.00972,-86.09833,Etowah,35954
Auburn,AL,Alabama,32.59778,-85.48083,Lee,"36830–36832, 36849"
Autaugaville,AL,Alabama,32.43222,-86.65333,Autauga,36003
Avon,AL,Alabama,31.18917,-85.27889,Houston,36312
Babbie,AL,Alabama,31.30028,-86.31917,Covington,null
Baileyton,AL,Alabama,34.26694,-86.60278,Cullman,35019
Bakerhill,AL,Alabama,31.88495,-85.1539,Barbour,null
Banks,AL,Alabama,31.81333,-85.84028,Pike,36005
Bay Minette,AL,Alabama,30.88333,-87.77694,Baldwin,36507
Bayou La Batre,AL,Alabama,30.40306,-88.24806,Mobile,36509
Bear Creek,AL,Alabama,34.27222,-87.70333,Marion,35543
Beatrice,AL,Alabama,31.73306,-87.20667,Monroe,36425
Beaverton,AL,Alabama,33.93278,-88.02028,Lamar,35544
Belk,AL,Alabama,33.64583,-87.93083,Fayette,35545
Benton,AL,Alabama,32.30611,-86.8175,Lowndes,36785
Berlin,AL,Alabama,34.18139,-86.74222,Cullman,35058
Berry,AL,Alabama,33.65778,-87.60583,Fayette,35546
Bessemer,AL,Alabama,33.40167,-86.95444,Jefferson,35020-35023
Billingsley,AL,Alabama,32.66028,-86.71111,Autauga,36006
Birmingham,AL,Alabama,33.51861,-86.81028,Jefferson,35201–35298
Black,AL,Alabama,31.01111,-85.74417,Geneva,36314
Blountsville,AL,Alabama,34.08167,-86.58861,Blount,35031
Blue Springs,AL,Alabama,31.66417,-85.49583,Barbour,36017
Boaz,AL,Alabama,34.20278,-86.16028,Etowah,35957 and 35956
Boligee,AL,Alabama,32.76361,-88.02583,Greene,35443
Bon Air,AL,Alabama,33.26361,-86.33361,Talladega,35032
Brantley,AL,Alabama,31.58417,-86.25639,Crenshaw,36009
Brent,AL,Alabama,32.94,-87.17472,Bibb,35034
Brewton,AL,Alabama,31.1175,-87.07111,Escambia,36426-36427
Bridgeport,AL,Alabama,34.94722,-85.71389,Jackson,35740
Brighton,AL,Alabama,33.43889,-86.94528,Jefferson,35020
Brilliant,AL,Alabama,34.0225,-87.76722,Marion,35548
Brookside,AL,Alabama,33.63167,-86.91306,Jefferson,35036
Brookwood,AL,Alabama,33.23889,-87.31972,Tuscaloosa,35444
Brundidge,AL,Alabama,31.71917,-85.81806,Pike,36010
Butler,AL,Alabama,32.09139,-88.22056,Choctaw,36904
Calera,AL,Alabama,33.10278,-86.75361,Chilton,35040[4]
Camden,AL,Alabama,31.9988,-87.2957,Wilcox,36726
Camp Hill,AL,Alabama,32.79917,-85.65278,Tallapoosa,36850
Carbon Hill,AL,Alabama,33.89056,-87.52417,Walker,35549
Cardiff,AL,Alabama,33.64528,-86.93278,Jefferson,35041
Carolina,AL,Alabama,31.23139,-86.52056,Covington,null
Carrollton,AL,Alabama,33.26083,-88.09444,Pickens,35447
Castleberry,AL,Alabama,31.29778,-87.025,Conecuh,36432
Cedar Bluff,AL,Alabama,34.22056,-85.59583,Cherokee,35959
Center Point,AL,Alabama,33.63917,-86.68028,Jefferson,35215
Centre,AL,Alabama,34.15917,-85.67472,Cherokee,35960
Centreville,AL,Alabama,32.95,-87.13444,Bibb,35042
Chatom,AL,Alabama,31.46139,-88.24778,Washington,36518
Chelsea,AL,Alabama,33.34,-86.63028,Shelby,35043
Cherokee,AL,Alabama,34.75833,-87.96861,Colbert,35616
Chickasaw,AL,Alabama,30.76472,-88.08361,Mobile,"36611, 36671"
Childersburg,AL,Alabama,33.275,-86.35306,Talladega,35044
Citronelle,AL,Alabama,31.0925,-88.24417,Mobile,36522
Clanton,AL,Alabama,32.83972,-86.62806,Chilton,35045-35046
Clay,AL,Alabama,33.7,-86.62278,Jefferson,35048
Clayhatchee,AL,Alabama,31.2375,-85.7125,Dale,36322
Clayton,AL,Alabama,31.8775,-85.44889,Barbour,36016
Cleveland,AL,Alabama,33.99194,-86.57583,Blount,35049
Clio,AL,Alabama,31.70972,-85.60667,Barbour,36017
Coaling,AL,Alabama,33.16917,-87.34583,Tuscaloosa,"35449, 35453"
Coffee Springs,AL,Alabama,31.16667,-85.91056,Geneva,36318
Coffeeville,AL,Alabama,31.76111,-88.08889,Clarke,36524
Coker,AL,Alabama,33.24611,-87.67917,Tuscaloosa,35452
Collinsville,AL,Alabama,34.26528,-85.86139,Cherokee,35961
Colony,AL,Alabama,33.945,-86.89944,Cullman,null
Columbia,AL,Alabama,31.29222,-85.11194,Houston,36319
Columbiana,AL,Alabama,33.18333,-86.60917,Shelby,35051
Coosada,AL,Alabama,32.50417,-86.33389,Elmore,36020
Cordova,AL,Alabama,33.76,-87.18694,Walker,35550
Cottonwood,AL,Alabama,31.05361,-85.30222,Houston,36320
County Line,AL,Alabama,33.81944,-86.72917,Blount,null
Courtland,AL,Alabama,34.66833,-87.31056,Lawrence,35618
Cowarts,AL,Alabama,31.19944,-85.30611,Houston,36321
Creola,AL,Alabama,30.89528,-88.01472,Mobile,36525
Crossville,AL,Alabama,34.28667,-85.99056,DeKalb,35962
Cuba,AL,Alabama,32.43361,-88.37167,Sumter,36907
Cullman,AL,Alabama,34.1775,-86.84472,Cullman,35055-35058
Cusseta,AL,Alabama,32.78472,-85.30583,Chambers,36852
Dadeville,AL,Alabama,32.83194,-85.76417,Tallapoosa,36853
Daleville,AL,Alabama,31.30222,-85.71083,Dale,36322
Daphne,AL,Alabama,30.63111,-87.88639,Baldwin,36526
Dauphin Island,AL,Alabama,30.25639,-88.12528,Mobile,36528
Daviston,AL,Alabama,33.055,-85.63889,Tallapoosa,36256
Dayton,AL,Alabama,32.34972,-87.64111,Marengo,36738
Deatsville,AL,Alabama,32.59389,-86.39333,Elmore,36022
Decatur,AL,Alabama,34.60583,-86.98333,Limestone,35600-35699
Demopolis,AL,Alabama,32.50944,-87.83722,Marengo,36732
Detroit,AL,Alabama,34.02583,-88.17167,Lamar,35552
Dodge,AL,Alabama,0,0,null,null
Dora,AL,Alabama,33.72917,-87.09028,Walker,null
Dothan,AL,Alabama,31.22722,-85.40722,Dale,36301-36305
Double Springs,AL,Alabama,34.15139,-87.40417,Winston,35553
Douglas,AL,Alabama,34.17139,-86.31972,Marshall,35964
Dozier,AL,Alabama,31.495,-86.36639,Crenshaw,36028
Dutton,AL,Alabama,34.6075,-85.91556,Jackson,35744
East Brewton,AL,Alabama,31.09222,-87.05306,Escambia,36426-36427
Eclectic,AL,Alabama,32.64111,-86.03833,Elmore,36024
Edwardsville,AL,Alabama,33.70694,-85.51056,Cleburne,36261
Elba,AL,Alabama,31.41722,-86.07722,Coffee,36323
Elberta,AL,Alabama,30.41444,-87.59778,Baldwin,36530
Eldridge,AL,Alabama,33.91972,-87.62111,Walker,35554
Elkmont,AL,Alabama,34.93,-86.97694,Limestone,35620
Elmore,AL,Alabama,32.54222,-86.31528,Elmore,36025
Emelle,AL,Alabama,32.72972,-88.31417,Sumter,35459
Enterprise,AL,Alabama,31.3275,-85.84444,Coffee,36330-36331
Epes,AL,Alabama,32.69028,-88.12417,Sumter,35460
Ethelsville,AL,Alabama,33.41333,-88.21528,Pickens,35461
Eufaula,AL,Alabama,31.88917,-85.15361,Barbour,"36027, 36072"
Eutaw,AL,Alabama,32.84056,-87.88889,Greene,35462
Eva,AL,Alabama,34.325,-86.7475,Morgan,35621
Evergreen,AL,Alabama,0,0,null,null
Excel,AL,Alabama,31.42722,-87.34056,Monroe,36439
Fairfield,AL,Alabama,33.47667,-86.91667,Jefferson,35064
Fairhope,AL,Alabama,30.52639,-87.89556,Baldwin,36532–36533
Fairview,AL,Alabama,34.24861,-86.6875,Cullman,null
Falkville,AL,Alabama,34.37167,-86.90833,Morgan,35622
Faunsdale,AL,Alabama,32.45917,-87.59306,Marengo,36738
Fayette,AL,Alabama,33.69194,-87.83222,Fayette,35555
Five Points,AL,Alabama,33.01694,-85.35111,Chambers,36855
Flomaton,AL,Alabama,31.00889,-87.25556,Escambia,36441
Florala,AL,Alabama,31.0075,-86.32472,Covington,36442
Florence,AL,Alabama,34.82028,-87.66278,Lauderdale,35630-35634
Foley,AL,Alabama,30.40556,-87.68139,Baldwin,36535-36536
Forkland,AL,Alabama,32.6475,-87.86722,Greene,36740
Fort Deposit,AL,Alabama,31.98778,-86.57111,Lowndes,36032
Fort Payne,AL,Alabama,34.45361,-85.70639,DeKalb,35967-35968
Franklin,AL,Alabama,32.45528,-85.80278,Macon,null
Frisco,AL,Alabama,31.59556,-85.86556,Coffee,null
Fruithurst,AL,Alabama,33.73083,-85.43167,Cleburne,36262
Fulton,AL,Alabama,31.79028,-87.73278,Clarke,36446
Fultondale,AL,Alabama,33.615,-86.80111,Jefferson,35068
Fyffe,AL,Alabama,34.44667,-85.90639,DeKalb,35971
Gadsden,AL,Alabama,34.01,-86.01028,Etowah,35901-35907
Gainesville,AL,Alabama,32.81722,-88.15778,Sumter,35464
Gantt,AL,Alabama,31.4075,-86.48333,Covington,36038
Garden,AL,Alabama,0,0,null,null
Gardendale,AL,Alabama,33.66,-86.81278,Jefferson,35071
Gaylesville,AL,Alabama,34.26778,-85.55806,Cherokee,35973
Geiger,AL,Alabama,32.86833,-88.30583,Sumter,35459
Geneva,AL,Alabama,31.03806,-85.87667,Geneva,36340
Georgiana,AL,Alabama,31.64,-86.73917,Butler,36033
Geraldine,AL,Alabama,34.35361,-86.00389,DeKalb,35974
Gilber,AL,Alabama,0,0,null,null
Glen Allen,AL,Alabama,33.89944,-87.73028,Fayette,35559
Glencoe,AL,Alabama,33.95306,-85.93583,Calhoun,35905
Glenwood,AL,Alabama,31.6675,-86.17472,Crenshaw,36034
Goldville,AL,Alabama,33.08361,-85.78417,Tallapoosa,null
Good Hope,AL,Alabama,34.10861,-86.86694,Cullman,null
Goodwater,AL,Alabama,33.05972,-86.05278,Coosa,35072
Gordo,AL,Alabama,33.32139,-87.90361,Pickens,35466
Gordon,AL,Alabama,31.14306,-85.09611,Houston,36343
Gordonville,AL,Alabama,32.15306,-86.71167,Lowndes,null
Goshen,AL,Alabama,31.71944,-86.12583,Pike,36035
Grant,AL,Alabama,34.50278,-86.25528,Marshall,35747
Graysville,AL,Alabama,33.62694,-86.96222,Jefferson,35073
Greensboro,AL,Alabama,32.70222,-87.59611,Hale,36744
Greenville,AL,Alabama,31.83111,-86.6275,Butler,36037
Grimes,AL,Alabama,31.30222,-85.45083,Dale,null
Grove Hill,AL,Alabama,31.70611,-87.77417,Clarke,36451
Guin,AL,Alabama,33.97306,-87.91667,Marion,35563
Gulf Shores,AL,Alabama,30.26778,-87.70139,Baldwin,"36542, 36547"
Guntersville,AL,Alabama,34.34806,-86.29444,Marshall,35976
Gurley,AL,Alabama,34.7,-86.37639,Madison,35748
Gu-Win,AL,Alabama,33.94944,-87.87167,Fayette,null
Hackleburg,AL,Alabama,34.27139,-87.83056,Marion,35564
Haleburg,AL,Alabama,31.40889,-85.13583,Henry,36319
Haleyville,AL,Alabama,34.23,-87.61889,Marion,35565
Hamilton,AL,Alabama,34.13528,-87.98889,Marion,35570
Hammondville,AL,Alabama,34.56944,-85.63833,DeKalb,35989
Hanceville,AL,Alabama,34.06333,-86.76083,Cullman,35077
Harpersville,AL,Alabama,33.32583,-86.42611,Shelby,35078
Hartford,AL,Alabama,31.10361,-85.69444,Geneva,36344
Hartselle,AL,Alabama,34.44028,-86.94028,Morgan,35640
Hayden,AL,Alabama,33.89333,-86.75694,Blount,35079
Hayneville,AL,Alabama,32.1825,-86.58056,Lowndes,36040
Headland,AL,Alabama,31.35333,-85.33972,Henry,36345
Heath,AL,Alabama,31.35806,-86.47028,Covington,null
Heflin,AL,Alabama,33.64389,-85.58278,Cleburne,36264
Helena,AL,Alabama,33.27972,-86.85611,Jefferson,35080
Henagar,AL,Alabama,34.63361,-85.74306,DeKalb,35978
Highland Lake,AL,Alabama,33.88417,-86.42222,Blount,35121
Hillsboro,AL,Alabama,34.63806,-87.18833,Lawrence,35643
Hobson,AL,Alabama,0,0,null,null
Hodges,AL,Alabama,34.33028,-87.9275,Franklin,35571
Hokes Bluff,AL,Alabama,34,-85.867,Etowah,35903
Holly Pond,AL,Alabama,34.17472,-86.61694,Cullman,35083
Hollywood,AL,Alabama,34.71694,-85.96556,Jackson,35752
Homewood,AL,Alabama,33.46833,-86.80806,Jefferson,"35209, 35219, 35259, 35226"
Hoover,AL,Alabama,33.38639,-86.805,Jefferson,"35216, 35226, 35236, 35242, 35244"
Horn Hill,AL,Alabama,31.24056,-86.31917,Covington,null
Huey,AL,Alabama,0,0,null,null
Huntsville,AL,Alabama,34.73,-86.585,Limestone,"35649, 35749, 35748, 35754, 35756, 35757, 35671, 35741, 35762, 35763, 35773, 35801–35816, 35824, 35893-35899"
Hurtsboro,AL,Alabama,32.24,-85.41528,Russell,36860
Hytop,AL,Alabama,34.90472,-86.08667,Jackson,35768
Ider,AL,Alabama,34.70389,-85.67389,DeKalb,35981
Indian Springs,AL,Alabama,33.36806,-86.74111,Shelby,35124
Irondale,AL,Alabama,33.53194,-86.68694,Jefferson,35210
Jackson,AL,Alabama,31.52167,-87.89111,Clarke,"36501, 36515, 36545"
Jacksons' Gap,AL,Alabama,32.88167,-85.81861,Tallapoosa,36861
Jacksonville,AL,Alabama,33.81583,-85.76056,Calhoun,36265
Jasper,AL,Alabama,33.84222,-87.27722,Walker,35501-35504
Jemison,AL,Alabama,32.95889,-86.74361,Chilton,35085
Kansas,AL,Alabama,33.90306,-87.55667,Walker,35573
Kellyton,AL,Alabama,32.97972,-86.03361,Coosa,null
Kennedy,AL,Alabama,33.58056,-87.98389,Lamar,35574
Killen,AL,Alabama,34.86167,-87.52944,Lauderdale,35645
Kimberly,AL,Alabama,33.77111,-86.79528,Jefferson,35091
Kinsey,AL,Alabama,31.29167,-85.34556,Houston,36303
Kinston,AL,Alabama,31.22056,-86.17083,Coffee,36453
La Fayette,AL,Alabama,32.89833,-85.40056,Chambers,36862
Lakeview,AL,Alabama,34.39222,-85.97333,DeKalb,null
Lake View,AL,Alabama,33.28,-87.13861,Tuscaloosa,null
Lanett,AL,Alabama,32.86333,-85.19972,Chambers,36863
Langston,AL,Alabama,34.53472,-86.08222,Jackson,35755
Leeds,AL,Alabama,33.54556,-86.5575,Jefferson,35094
Leesburg,AL,Alabama,34.1825,-85.76889,Cherokee,35983
Leighton,AL,Alabama,34.69972,-87.53083,Colbert,35646
Lester,AL,Alabama,34.98417,-87.14778,Limestone,35647
Level Plains,AL,Alabama,31.31361,-85.76722,Dale,36322
Lexington,AL,Alabama,34.96611,-87.37278,Lauderdale,35648
Libertyville,AL,Alabama,31.24389,-86.46,Covington,36420
Lincoln,AL,Alabama,33.59306,-86.13889,Talladega,35096
Linden,AL,Alabama,32.30111,-87.79278,Marengo,36748
Lineville,AL,Alabama,33.31056,-85.75444,Clay,36266
Lipscomb,AL,Alabama,33.42722,-86.9225,Jefferson,null
Lisman,AL,Alabama,32.17222,-88.28944,Choctaw,"36906, 36910, 36912"
Littleville,AL,Alabama,34.59083,-87.67556,Colbert,null
Livingston,AL,Alabama,32.58722,-88.18806,Sumter,35470
Loachapoka,AL,Alabama,32.60472,-85.59694,Lee,36865
Lockhart,AL,Alabama,31.01139,-86.35056,Covington,36455
Locust Fork,AL,Alabama,33.89639,-86.63056,Blount,35097
Louisville,AL,Alabama,31.78028,-85.5575,Barbour,36048
Lowndesboro,AL,Alabama,32.27306,-86.61,Lowndes,36752
Loxley,AL,Alabama,30.62361,-87.75472,Baldwin,36551
Luverne,AL,Alabama,31.71444,-86.26333,Crenshaw,36049
Lynn,AL,Alabama,34.04056,-87.54083,Winston,35575
McIntosh,AL,Alabama,31.26611,-88.03139,Washington,36553
McKenzie,AL,Alabama,31.54278,-86.71972,Butler,36456
McMullen,AL,Alabama,33.14917,-88.17389,Pickens,35442
Madison,AL,Alabama,34.715,-86.73972,Limestone,35757-35758
Madrid,AL,Alabama,31.035,-85.39722,Houston,36320
Magnolia Springs,AL,Alabama,30.39972,-87.77611,Baldwin,36555
Malvern,AL,Alabama,31.14389,-85.52333,Geneva,36349
Maplesville,AL,Alabama,32.78194,-86.87556,Chilton,36750
Margaret,AL,Alabama,33.67583,-86.46778,St. Clair,35120
Marion,AL,Alabama,32.63278,-87.31722,Perry,36756
May,AL,Alabama,0,0,null,null
Memphis,AL,Alabama,33.13361,-88.29694,Pickens,null
Mentone,AL,Alabama,34.57222,-85.58028,DeKalb,35984
Midfield,AL,Alabama,33.45583,-86.92694,Jefferson,35228
Midland,AL,Alabama,0,0,null,null
Midway,AL,Alabama,32.07444,-85.52028,Bullock,null
Millbrook,AL,Alabama,32.4975,-86.36861,Autauga,36054
Millport,AL,Alabama,33.56028,-88.08028,Lamar,35576
Millry,AL,Alabama,31.63139,-88.31889,Washington,36558
Mobile,AL,Alabama,30.69444,-88.04306,Mobile,"
Zip codes[7]
36601-36612, 36615-36619, 36625, 36628, 36630, 36633, 36640-36641, 36644, 36652, 36660, 36663, 36670-36671, 36675, 36685, 36688-36689, 36691, 36693, 36695
"
Monroeville,AL,Alabama,31.51806,-87.3275,Monroe,36460–36462
Montevallo,AL,Alabama,33.105,-86.86278,Shelby,35115
Montgomery,AL,Alabama,32.36167,-86.27917,Montgomery,"36013, 36043, 36064, 36104, 36105, 36106, 36107, 36108, 36109, 36110, 36111, 36112, 36113, 36115, 36116, 36117"
Moody,AL,Alabama,33.5925,-86.49639,St. Clair,35004
Mooresville,AL,Alabama,34.62694,-86.88111,Limestone,35649
Morris,AL,Alabama,33.7475,-86.80694,Jefferson,35116
Mosses,AL,Alabama,32.17306,-86.67722,Lowndes,null
Moulton,AL,Alabama,34.48222,-87.28556,Lawrence,35650
Moundville,AL,Alabama,32.99861,-87.62611,Hale,35474
Mountain Brook,AL,Alabama,33.48694,-86.74056,Jefferson,"35213, 35223, 35243"
Mount Vernon,AL,Alabama,31.09306,-88.01111,Mobile,36560
Mulga,AL,Alabama,33.55361,-86.97528,Jefferson,35118
Munford,AL,Alabama,33.53333,-85.95417,Talladega,36268
Muscle Shoals,AL,Alabama,34.75083,-87.65028,Colbert,"35660(obsolete), 35661, 35662"
Myrtlewood,AL,Alabama,32.24722,-87.94722,Marengo,36763
Napier Field,AL,Alabama,31.31528,-85.45444,Dale,null
Natural Bridge,AL,Alabama,34.09167,-87.60444,Winston,35577
Nauvoo,AL,Alabama,33.98861,-87.48778,Walker,35578
Nectar,AL,Alabama,33.96917,-86.63639,Blount,null
Needham,AL,Alabama,31.98639,-88.33889,Choctaw,36915
Newbern,AL,Alabama,32.59472,-87.53556,Hale,36765
New Brockton,AL,Alabama,31.38111,-85.92444,Coffee,36351
New Hope,AL,Alabama,34.53806,-86.41222,Madison,35760
New Site,AL,Alabama,33.03028,-85.78667,Tallapoosa,null
Newton,AL,Alabama,31.35,-85.6,Dale,36352
Newville,AL,Alabama,31.42194,-85.33639,Henry,36353
North Courtland,AL,Alabama,34.67639,-87.30778,Lawrence,null
North Johns,AL,Alabama,33.36694,-87.10139,Jefferson,35006
Northport,AL,Alabama,33.25389,-87.59222,Tuscaloosa,"35473, 35475, 35476"
Notasulga,AL,Alabama,32.56083,-85.6675,Lee,36866
Oak Grove,AL,Alabama,33.18972,-86.30306,Talladega,35150-35151
Oak Hill,AL,Alabama,31.92111,-87.08278,Wilcox,36766
Oakman,AL,Alabama,33.71361,-87.38611,Walker,35579
Odenville,AL,Alabama,33.68167,-86.39917,St. Clair,35120
Ohatchee,AL,Alabama,33.80306,-86.03667,Calhoun,36271
Oneonta,AL,Alabama,33.94222,-86.47889,Blount,35121
Onycha,AL,Alabama,31.22139,-86.27778,Covington,null
Opelika,AL,Alabama,32.64528,-85.37833,Lee,36801-36804
Opp,AL,Alabama,31.28306,-86.25472,Covington,36467
Orange Beach,AL,Alabama,30.29139,-87.56194,Baldwin,36561
Orrville,AL,Alabama,32.30556,-87.24528,Dallas,36767
Owens Cross Roads,AL,Alabama,34.58611,-86.45861,Madison,35763
Oxford,AL,Alabama,33.59694,-85.83861,Calhoun,36203
Ozark,AL,Alabama,31.44806,-85.64194,Dale,36360-36361
Paint Rock,AL,Alabama,34.66028,-86.32806,Jackson,35764
Parrish,AL,Alabama,33.7325,-87.27917,Walker,35580
Pelham,AL,Alabama,33.30444,-86.78472,Shelby,35124
Pell,AL,Alabama,0,0,null,null
Pennington,AL,Alabama,32.20361,-88.0525,Choctaw,36916
Perdido Beach,AL,Alabama,30.34194,-87.50306,Baldwin,36530
Petrey,AL,Alabama,31.85028,-86.20722,Crenshaw,36062
Phenix,AL,Alabama,0,0,null,null
Phil Campbell,AL,Alabama,34.35139,-87.7075,Franklin,35581
Pickensville,AL,Alabama,33.23056,-88.2725,Pickens,null
Piedmont,AL,Alabama,33.92611,-85.61306,Calhoun,36272
Pike Road,AL,Alabama,32.26972,-86.14028,Montgomery,36064
Pinckard,AL,Alabama,31.31278,-85.54583,Dale,36371
Pine Apple,AL,Alabama,31.86778,-86.9875,Wilcox,36768
Pine Hill,AL,Alabama,31.98639,-87.59222,Wilcox,36769
Pine Ridge,AL,Alabama,34.44583,-85.77917,DeKalb,null
Pinson,AL,Alabama,33.68611,-86.68167,Jefferson,"35126, 35123, 35215"
Pisgah,AL,Alabama,34.685,-85.84667,Jackson,35765
Pleasant Grove,AL,Alabama,33.4925,-86.97306,Jefferson,35127
Pleasant Groves,AL,Alabama,34.74139,-86.19056,Jackson,null
Pollard,AL,Alabama,31.02722,-87.17222,Escambia,36441
Powell,AL,Alabama,34.53361,-85.89472,DeKalb,null
Prattville,AL,Alabama,32.45917,-86.45139,Autauga,36066-36068
Priceville,AL,Alabama,34.52111,-86.87972,Morgan,null
Prichard,AL,Alabama,30.74806,-88.10028,Mobile,"36610, 36612, 36613"
Providence,AL,Alabama,32.34889,-87.77833,Marengo,null
Ragland,AL,Alabama,33.74333,-86.14222,St. Clair,35131
Rainbow,AL,Alabama,34.7525,-86.73639,Madison,null
Rainsville,AL,Alabama,34.49222,-85.84528,DeKalb,35986
Ranburne,AL,Alabama,33.52528,-85.34333,Cleburne,36273
Red Bay,AL,Alabama,34.44,-88.13833,Franklin,35582
Red Level,AL,Alabama,31.40778,-86.61028,Covington,36474
Reece,AL,Alabama,0,0,null,null
Reform,AL,Alabama,33.38083,-88.015,Pickens,35481
Rehobeth,AL,Alabama,31.12296,-85.45271,Houston,"
36301
36303
36305
"
Repton,AL,Alabama,31.40889,-87.23944,Conecuh,"36454, 36475"
Ridgeville,AL,Alabama,34.05722,-86.10333,Etowah,35954
River Falls,AL,Alabama,31.35,-86.533,Covington,36476
Riverside,AL,Alabama,33.61444,-86.20056,St. Clair,35135
Riverview,AL,Alabama,31.05861,-87.05667,Escambia,null
Roanoke,AL,Alabama,33.14889,-85.36972,Randolph,36274
Robertsdale,AL,Alabama,30.55444,-87.70556,Baldwin,"36567, 36574"
Rockford,AL,Alabama,32.88806,-86.21944,Coosa,35136
Rogersville,AL,Alabama,34.82333,-87.28556,Lauderdale,35652
Rosa,AL,Alabama,33.98972,-86.51194,Blount,35121
Russellville,AL,Alabama,34.50556,-87.72917,Franklin,35653-35654
Rutledge,AL,Alabama,31.73306,-86.30972,Crenshaw,36071
St. Florian,AL,Alabama,34.87278,-87.625,Lauderdale,null
Samson,AL,Alabama,31.1125,-86.04778,Geneva,36477
Sand Rock,AL,Alabama,34.2325,-85.77056,Cherokee,35983
Sanford,AL,Alabama,31.30056,-86.39167,Covington,null
Saraland,AL,Alabama,30.82528,-88.09194,Mobile,36571
Sardis,AL,Alabama,32.28778,-86.98583,Dallas,36775
Satsuma,AL,Alabama,30.85444,-88.05444,Mobile,36572
Scottsboro,AL,Alabama,34.65139,-86.0425,Jackson,35768-35769
Section,AL,Alabama,34.57806,-85.98806,Jackson,35771
Selma,AL,Alabama,32.41639,-87.02472,Dallas,36701-36703
Semmes,AL,Alabama,30.778,-88.259,Mobile,null
Sheffield,AL,Alabama,34.75972,-87.69472,Colbert,35660
Shiloh,AL,Alabama,0,0,null,null
Shorter,AL,Alabama,32.40139,-85.94333,Macon,36075
Silas,AL,Alabama,31.77167,-88.33111,Choctaw,36919
Silverhill,AL,Alabama,30.54528,-87.75056,Baldwin,36576
Sipsey,AL,Alabama,33.82306,-87.08611,Walker,35584
Skyline,AL,Alabama,34.80306,-86.12361,Jackson,null
Slocomb,AL,Alabama,31.10861,-85.59444,Geneva,36375
Smiths Station,AL,Alabama,32.53917,-85.09861,Lee,36877
Snead,AL,Alabama,34.11583,-86.39139,Blount,null
Somerville,AL,Alabama,34.47,-86.79889,Morgan,35670
Southside,AL,Alabama,33.90361,-86.02611,Etowah,35907
South Vinemont,AL,Alabama,34.23361,-86.86278,Cullman,null
Spanish Fort,AL,Alabama,30.66861,-87.92222,Baldwin,"36527, 36577"
Springville,AL,Alabama,33.76889,-86.47111,St. Clair,35146
Steele,AL,Alabama,33.94028,-86.19944,St. Clair,35987
Stevenson,AL,Alabama,34.86944,-85.83194,Jackson,35772
Sulligent,AL,Alabama,33.89472,-88.13194,Lamar,35586
Sumiton,AL,Alabama,33.74722,-87.04667,Jefferson,35148
Summerdale,AL,Alabama,30.48778,-87.69972,Baldwin,36580
Susan Moore,AL,Alabama,34.08194,-86.41944,Blount,null
Sweet Water,AL,Alabama,32.09737,-87.86751,Marengo,36782
Sylacauga,AL,Alabama,33.17833,-86.25111,Talladega,35150-35151
Sylvania,AL,Alabama,34.55833,-85.79611,DeKalb,35988
Sylvan Springs,AL,Alabama,33.51278,-87.02056,Jefferson,35118
Talladega,AL,Alabama,33.43472,-86.10139,Talladega,35160-35161
Talladega Springs,AL,Alabama,33.12083,-86.44528,Talladega,null
Tallassee,AL,Alabama,32.53944,-85.89306,Elmore,"36045, 36078"
Tarrant,AL,Alabama,33.5875,-86.76611,Jefferson,35217
Taylor,AL,Alabama,31.16833,-85.46806,Geneva,"36301, 36305"
Thomaston,AL,Alabama,32.26944,-87.625,Marengo,36783
Thomasville,AL,Alabama,31.91139,-87.74,Clarke,"36762, 36784"
Thorsby,AL,Alabama,32.91694,-86.71583,Chilton,35171
 Creek,AL,Alabama,0,0,null,null
Toxey,AL,Alabama,31.91361,-88.30833,Choctaw,36921
Trafford,AL,Alabama,33.81889,-86.74667,Jefferson,null
