city,st,state,lat,lon,county,zip
Minnesota Lake,MN,Minnesota,43.84139,-93.83278,Blue Earth,56068
Minnetonka,MN,Minnesota,44.91333,-93.50333,Hennepin,"55305, 55343, 55345, 55391[4]"
Minnetonka Beach,MN,Minnesota,44.93944,-93.59167,Hennepin,55361
Minnetrista,MN,Minnesota,44.93833,-93.71778,Hennepin,55331
Mizpah,MN,Minnesota,47.92528,-94.20639,Koochiching,56660
Montevideo,MN,Minnesota,44.94861,-95.72028,Chippewa,56265
Montgomery,MN,Minnesota,44.44028,-93.58056,Le Sueur,56069
Monticello,MN,Minnesota,45.30056,-93.79667,Wright,null
Montrose,MN,Minnesota,45.06722,-93.9125,Wright,55363
Moorhead,MN,Minnesota,46.87389,-96.76722,Clay,56560–56563
Moose Lake,MN,Minnesota,46.45139,-92.76333,Carlton,55767
Mora,MN,Minnesota,45.87389,-93.29389,Kanabec,55051
Morgan,MN,Minnesota,44.41639,-94.92583,Redwood,56266
Morris,MN,Minnesota,45.585,-95.91,Stevens,56267
Morris,MN,Minnesota,45.585,-95.91,Stevens,56267
Morton,MN,Minnesota,44.55167,-94.98556,Renville,56270
Motley,MN,Minnesota,46.335,-94.64583,Cass,56466
Mound,MN,Minnesota,44.93667,-93.66611,Hennepin,null
Mounds View,MN,Minnesota,45.10472,-93.20611,Ramsey,55112
Mountain Iron,MN,Minnesota,47.51917,-92.60639,St. Louis,55768/55792
Mountain Lake,MN,Minnesota,43.93889,-94.92972,Cottonwood,56159
Murdock,MN,Minnesota,45.22389,-95.39222,Swift,56271
Myrtle,MN,Minnesota,43.56278,-93.16278,Freeborn,56036
Nashua,MN,Minnesota,46.03722,-96.30833,Wilkin,56565
Nashwauk,MN,Minnesota,47.37639,-93.16,Itasca,55769
Nassau,MN,Minnesota,45.06778,-96.44139,Lac qui Parle,56257
Nelson,MN,Minnesota,45.88583,-95.26472,Douglas,56355
Nerstrand,MN,Minnesota,44.34111,-93.06639,Rice,55053
Nevis,MN,Minnesota,46.96417,-94.84444,Hubbard,56467
New Auburn,MN,Minnesota,44.67278,-94.23056,Sibley,55366
New Brighton,MN,Minnesota,45.033,-93.2,Ramsey,55112
Newfolden,MN,Minnesota,48.35528,-96.32833,Marshall,56738
New Germany,MN,Minnesota,44.88472,-93.96639,Carver,55367
New Hope,MN,Minnesota,45.033,-93.383,Hennepin,"55427, 55428"
New London,MN,Minnesota,45.29833,-94.945,Kandiyohi,56273
New Munich,MN,Minnesota,45.62861,-94.75333,Stearns,56356
Newport,MN,Minnesota,44.87111,-93.00194,Washington,55055
New Prague,MN,Minnesota,44.54528,-93.57528,Le Sueur,56071
